Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MVP Run,Chrome 75.0.3770.100,,,2019-07-02 15:04:43,2019-07-02 15:05:15,31.160s,INCOMPLETE
,,,,,,,
Test Cases/MVP_weather_Testcase1,Chrome 75.0.3770.100,,,2019-07-02 15:04:44,2019-07-02 15:04:53,9.155s,PASSED
"openBrowser(""http://technet-k8s.hds-cloudconnect.com:32000/"")",Chrome 75.0.3770.100,,,2019-07-02 15:04:44,2019-07-02 15:04:51,7.134s,PASSED
"verifyElementText(findTestObject(""Page_Weather Application/h1_England""), ""England"")",Chrome 75.0.3770.100,,,2019-07-02 15:04:51,2019-07-02 15:04:52,0.701s,PASSED
closeBrowser(),Chrome 75.0.3770.100,,,2019-07-02 15:04:52,2019-07-02 15:04:53,0.865s,PASSED
,,,,,,,
Test Cases/MVP_weather_Testcase2,Chrome 75.0.3770.100,,,2019-07-02 15:04:53,2019-07-02 15:05:08,15.421s,FAILED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-02 15:04:53,2019-07-02 15:04:56,2.618s,PASSED
"navigateToUrl(""https://www.google.com/?gws_rd=ssl"")",Chrome 75.0.3770.100,,,2019-07-02 15:04:56,2019-07-02 15:04:57,1.508s,PASSED
takeScreenshot(),Chrome 75.0.3770.100,,,2019-07-02 15:04:57,2019-07-02 15:04:58,0.312s,PASSED
"waitForImagePresent(findTestObject(""Object Repository/Page_Weather Application/TEST/Page_Google/img__hplogo""), 10)",Chrome 75.0.3770.100,,,2019-07-02 15:04:58,2019-07-02 15:05:08,10.728s,FAILED
,,,,,,,
Test Cases/MVP_weather_Testcase3,Chrome 75.0.3770.100,,,2019-07-02 15:05:08,2019-07-02 15:05:15,6.174s,FAILED
"openBrowser("""")",Chrome 75.0.3770.100,,,2019-07-02 15:05:09,2019-07-02 15:05:12,3.647s,PASSED
"navigateToUrl(""http://technet-k8s.hds-cloudconnect.com:32001/"")",Chrome 75.0.3770.100,,,2019-07-02 15:05:12,2019-07-02 15:05:13,1.108s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_Weather Application/Page_Weather Application/span_England_us""), 5)",Chrome 75.0.3770.100,,,2019-07-02 15:05:13,2019-07-02 15:05:14,0.063s,PASSED
"click(findTestObject(""Object Repository/Page_Weather Application/Page_Weather Application/span_England_us""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,,,2019-07-02 15:05:14,2019-07-02 15:05:14,0.162s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_Weather Application/Page_Weather Application/h1_United States of America""), 0)",Chrome 75.0.3770.100,,,2019-07-02 15:05:14,2019-07-02 15:05:14,0.053s,PASSED
"click(findTestObject(""Object Repository/Page_Weather Application/Page_Weather Application/span_United States of America_fr""))",Chrome 75.0.3770.100,,,2019-07-02 15:05:14,2019-07-02 15:05:14,0.137s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_Weather Application/Page_Weather Application/h1_France""), 0)",Chrome 75.0.3770.100,,,2019-07-02 15:05:14,2019-07-02 15:05:14,0.048s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Weather Application/Page_Weather Application/h1_France""), ""France"")",Chrome 75.0.3770.100,,,2019-07-02 15:05:14,2019-07-02 15:05:15,0.653s,FAILED
